state_fips,county_fips,median_household_income,pct_households_below_poverty,pct_pop_over_65,pct_pop_uninsured,pct_pop_using_public_transit,pop_density
8,97,71244,1.9,17.2,13.4,15.1,18.303260404
8,99,40097,14.3,17.1,10.8,0,7.4292112205
8,101,44634,14.5,17.8,7,1,70.58553725
8,103,55543,9.3,14.5,8.1,1,1.9633833798
8,105,38639,14,18.9,10.8,0.8,12.354757523
8,107,74273,5.9,13.9,8.1,3,10.854269955
8,109,34410,12.7,21.4,16.5,1.5,2.1536556841
8,111,46563,0,27.9,9.7,0,1.8786342004
8,113,64478,3.8,12.5,8,10.1,6.3564403745
8,115,45188,9.8,25.9,7.7,0,4.101884615
8,117,77589,4,11.8,18.5,4.9,50.976513811
8,119,65382,5.9,20.2,9.1,0,45.576449143
8,121,49375,9.2,19.5,5,0,1.949101146
8,123,70908,7.1,11.6,7.8,0.5,81.429805285
8,125,48394,11.1,18.2,11.3,0,4.2374414873
9,1,92969,6.3,15.2,8.7,10,1509.4086275
9,3,72321,7.9,16.5,4.4,3.2,1213.2864925
9,5,78314,4,19.9,4.2,1.3,195.90467325
9,7,84761,4.4,19,3.3,1.4,439.84321801
9,9,67128,8.3,16.6,5.2,4.1,1413.9582297
9,11,71368,7.2,17.2,4.3,1.5,398.72059141
9,13,84916,2.8,14.8,3.1,1.9,367.29661189
9,15,64774,7.5,15.7,3.9,0.5,227.67698741
10,1,58775,10.4,16.3,7,1,308.47687444
10,3,70996,7.3,14.7,5.3,3.9,1310.6490387
10,5,60853,7.7,26.1,7.1,0.5,250.20481554
12,1,49078,10.6,13.2,9.2,3.9,307.28851819
12,3,61769,11.1,13.8,12.5,0,49.911990836
12,5,51829,10.5,16.5,14.2,1,230.30172695
12,7,46197,15.6,17.8,12.4,0.6,95.933656468
12,9,54359,8.8,23.1,10.8,0.6,593.05632145
12,11,57333,10.3,15.9,14.6,2.6,1623.499921
12,13,38609,6.4,18.4,18.3,0,24.861791115
12,15,49225,7.5,39,11.3,0.2,277.35736469
12,17,41424,11.1,35.9,10.4,0.3,257.18197519
12,19,62653,8.7,14.9,10.4,0.1,362.63057436
12,21,65675,8,30.9,16.5,2.2,192.74608394
12,23,44491,11,18,12.4,0.1,89.882616434
12,27,35057,20.5,21.3,18.4,3.9,59.684954353
12,29,38237,16.8,22.7,17.2,0,23.862999057
12,31,53473,11.7,13.4,12,1.8,1255.8590575
12,33,49286,8.6,16.2,10.2,0.6,484.51894692
12,35,53872,7.9,29.5,12.7,0.4,237.20947675
12,37,42855,15.4,21.4,18.3,0.5,22.24195612
12,39,40922,17.6,16.5,14.9,0.3,88.435431486
12,41,42357,13.6,20,18.1,0.1,53.137750778
12,43,39879,11.1,25.9,19.9,1.7,17.123165499
12,45,44291,10.1,19.9,11.4,0,24.64407634
12,47,34583,25.2,16.5,14.3,0.2,28.081941717
12,49,37594,19.9,15.4,12.2,3.3,42.249148339
12,51,40728,23.1,13.2,26.2,7.6,36.344011064
12,53,46030,10.1,27.5,12.6,0.3,410.01303591
12,55,37314,13.3,34.8,12.7,1.1,104.3793425
12,57,56137,11.2,13.8,13,1.5,1440.3883066
12,59,38608,21,19.8,18.9,0.1,40.966333101
12,61,52336,6.5,31.6,12.1,0.3,318.07512707
12,63,39002,16.4,18.5,11.3,0,50.55019229
12,65,48173,11.7,22,6.4,0,23.819664615
12,67,39543,26.3,13.5,17.6,0.3,15.500288741
12,69,51884,8.9,26.3,11.6,0.3,386.1320543
12,71,54691,9.6,27.6,14.3,0.7,986.07766533
12,73,51201,9.9,12.4,8.2,1.8,440.22546489
12,75,37634,16.4,23.5,15.5,0.1,37.115151768
12,77,37363,11.2,15.6,18.5,0,9.9980448271
12,79,35509,21.8,19.7,13.1,0.5,26.550226543
12,81,56036,8.2,26.5,12.7,0.7,542.27582552
12,83,43361,12,28.4,12.3,0.5,230.15315849
12,85,57959,6.9,30.1,11.5,0.2,296.0539284
12,86,48982,14.7,15.6,18.1,5,1430.0879913
12,87,67023,7.4,21.3,17.8,1.5,75.509435696
12,89,66297,7.6,20.9,11,0.2,136.62350377
12,91,62048,8,15.4,12.2,0.3,226.54514971
12,93,40367,17,19.2,18.1,0.1,54.823647905
12,95,54335,12.3,11.4,14.5,2.5,1545.0772998
12,97,50063,13.4,12.8,15.8,1.3,283.03811034
12,99,59943,9,23.3,13.6,1.8,761.99313226
12,101,50417,9.5,22.5,11.8,0.4,741.97917716
12,103,51454,8.6,23.9,11.5,1.7,3561.2781285
12,105,48500,12.5,20,13.2,0.5,403.20522157
12,107,35649,18.3,22.4,16,0.5,102.382701
12,109,77323,5.2,19.2,8.4,0.1,440.7050343
12,111,49373,10.8,23.3,14,0.3,574.29667346
12,113,66242,7.4,15.4,10,0.1,182.05920707
12,115,58644,5.7,35.4,11.4,0.7,780.13055204
12,117,63760,7.9,14.8,10.4,0.9,1525.3362784
12,119,55228,5,55.6,6.2,0.2,237.68129645
12,121,42686,13.3,20.1,13.9,0,64.507811609
12,123,36934,16.6,19.1,10.9,0,20.673471932
12,125,41770,17.6,14.5,12.4,1.7,62.56081663
12,127,46760,9.7,23.8,12.5,1,502.41804154
12,129,62778,7.4,13.9,9,0,55.636527316
12,131,53785,10.5,19.4,13.5,0.3,71.377063157
12,133,37188,17.7,17.4,12.8,0.2,43.567657611
13,1,39561,17.6,16.5,15.6,0.3,36.173410386
13,3,34877,25.2,12.7,24.9,0,23.82421753
13,5,36964,21.1,15.1,19,0.5,39.29810477
13,7,37188,15.2,23.1,14,0,8.8841493582
13,9,39426,15.1,15,11.6,0.8,173.52206295
13,11,45373,11.5,16.7,15.8,0,82.885148043
13,13,57348,9.8,11.9,14.9,0.3,516.90185253
13,15,55452,10.5,13.4,14.8,0.8,234.76983541
13,17,32705,26.7,16.2,17.2,0,66.76745971
13,19,37163,19.3,17.2,21.7,0.2,42.783499826
13,21,39931,20.3,14.8,13.4,1.1,614.11369433
13,23,45029,15.8,16.8,10.4,0.1,59.632498232
13,25,37031,20.3,15.4,19.1,0.8,43.113474666
13,27,34322,22.7,19.1,20.8,0.7,31.341228373
13,29,71322,11,10.2,11.2,0,90.566155149
13,31,41789,17.9,10.9,13.4,1.1,117.7718324
13,33,42773,20.4,14.6,13.6,0.7,27.064154321
13,35,41845,19.1,15.1,10.4,0,135.75048129
13,37,31725,27.6,14.5,19.3,0.2,22.073290155
13,39,56397,11.2,12.2,11.7,0.1,86.727841636
13,43,32937,27.3,17,21,0.1,44.445931938
13,45,49608,13.5,13.1,12.2,0.4,240.45156181
13,47,55125,6.9,16.8,12,0,416.74254951
13,49,40283,13.6,14.8,21.1,0.6,17.167318689
13,51,54911,11.6,14.4,14.5,2.6,668.24945353
13,53,46453,14.3,3.8,6.4,0,43.849500395
13,55,36107,14.3,16.9,15.4,0.1,79.11550459
13,57,79670,6,12.9,10.9,0.5,614.54094882
13,59,36889,18.1,10.3,14,4.9,1076.3988884
13,61,25000,28.6,22.7,23.6,0.8,14.503289288
13,63,45778,16.6,8.7,19.2,3.1,2062.8050676
13,65,25236,34.3,15.2,21.2,0,8.1202878844
13,67,75153,6.9,11.4,13,1.1,2237.0896015
13,69,38266,18.6,13.3,19.2,0.1,73.065025763
13,71,35472,20.3,14.7,23.6,1.2,83.358192876
13,73,76938,6,12.7,8,0.1,540.25162678
13,75,38408,18.5,15.5,18,0.1,75.606139957
13,77,70717,9,13.2,10.4,0.6,336.80589489
13,79,43257,19,17.7,13.5,1.3,38.176318159
13,81,35096,25.6,17.6,16.8,0.4,82.04501741
13,83,44471,10.6,18.1,12.4,0.4,92.631502469
13,85,65805,6.8,19.5,11.2,0.2,123.83548313
13,87,39148,21.3,15.7,19.1,0.7,44.215082308
13,89,59280,12.3,11.5,14.8,7.8,2836.041489
13,91,35757,20.5,16.9,11.3,0.4,41.545982312
13,93,35629,21.5,18.4,16.2,0,34.10329848
13,95,37633,24.3,14.6,17,1.6,267.63323588
13,97,62147,10.5,11,13.2,0.8,731.21043705
13,99,31567,24.2,18.6,15.7,0,19.879066674
13,101,34447,25.8,16.2,25.6,0.5,9.5288579495
13,103,65153,6.3,11.1,9.8,0.1,134.28047126
13,105,37943,15.3,19.7,14.6,0.1,54.668554458
13,107,34946,18.8,15.5,17.9,2.4,33.27497148
13,109,39701,22.7,16,16.8,0.3,58.252119003
13,111,45647,9.3,27.9,13.4,0.2,67.650898703
13,113,87272,4.5,17.1,7.3,0.8,588.65191144
13,115,46367,14.8,16.1,13.8,0.5,193.20052674
13,117,101743,4.4,11.4,8.9,0.5,1087.7329881
13,119,40198,19.7,19.4,16.4,0.4,89.267709284
13,121,64787,11.2,11.1,11,7.5,2019.9144194
13,123,49389,10.5,23.4,21.4,0.2,73.599328187
13,125,41686,14.7,17,8.3,0,20.668466164
13,127,50672,14.6,18.8,14.1,0.4,203.29351446
13,129,44313,16.3,14.1,16.2,0.6,162.61519552
13,131,42348,17,17.2,18.3,0,54.197856078
13,133,49755,14.9,27.8,15.8,0.4,47.26782481
13,135,67769,9,9.2,17,1.1,2174.1752753
13,137,49140,11,18.2,17.3,0.5,163.74088544
13,139,59898,10.8,14.2,17.4,0.2,520.20744436
13,141,31984,18.8,21.6,9.5,0.7,17.952857857
13,143,46353,13.8,15.6,12.3,0,105.58352184
13,145,74261,5.4,17.4,7.8,0.5,75.968342179
13,147,41358,13.6,21.3,11.4,0.2,112.74742334
13,149,48094,12.3,16.2,12.6,0.3,40.284179989
13,151,68609,8.4,11,11,0.9,736.11147402
13,153,58770,12.5,12.2,11.8,0,419.80001952
13,155,32339,15.3,18.6,15.8,0,26.571642734
13,157,62495,7.7,14.4,12,0.2,214.84764978
13,159,43284,14.4,16.9,13.7,0.2,38.595984708
13,161,36531,18.6,15.3,19.7,0.3,45.675982346
13,163,34300,19.1,17.4,14.4,0,29.174765401
13,165,27311,20.2,16.8,16.7,0,24.979491545
13,167,39813,16.6,17.7,14.8,0,31.823101062
13,169,53155,11.6,16.6,11.6,0.1,72.942274444
13,171,41464,16.5,16.4,13.7,0,103.96149303
13,173,39104,20.6,12.7,15.7,0.1,53.033498688
13,175,37369,19.9,16.8,11.2,0.1,58.89289941
13,177,65420,9.2,11.9,10.9,0,84.275042377
13,179,45959,14.7,8.4,12.5,0.5,118.95161658
13,181,41014,17.7,22.6,12.4,0,37.650702451
13,183,55439,14.1,8.8,14.8,0,48.849483611
13,185,41390,18.4,11.5,15.8,0.3,236.15375655
13,187,47488,9,16.7,11.7,0.1,118.7874112
13,189,39199,20.5,16.7,13.4,0,82.774133665
13,191,47114,15,24.5,15.9,0.4,33.332243495
13,193,31999,22.3,16,20.1,0.1,32.314015098
13,195,51701,12.7,15.8,13.7,0.3,105.83442339
13,197,44309,17.8,20.3,14.2,1.3,22.837741593
13,199,36351,16.1,19.3,14.3,0.6,42.230671796
13,201,42927,17.2,21.3,14.7,1.1,20.246237336
13,205,37027,18.2,15.7,17.7,0.5,42.687998082
13,207,54050,10.3,17.5,11.8,0.5,69.625311737
13,209,40728,16.5,16,15,0.4,38.035182446
