median_household_income,state,county
45521,48,465
60676,48,135
75833,48,173
50298,48,185
94192,48,085
47714,48,005
34375,48,101
65935,48,209
57372,48,295
45500,48,321
52282,48,371
94767,48,397
52329,48,401
44196,48,447
41855,48,471
48534,48,499
44865,48,007
40794,48,075
45551,48,081
51440,48,099
63778,48,211
51527,48,341
47920,48,349
35509,48,405
45187,48,417
29294,48,427
52257,48,461
62941,48,021
32921,48,191
52944,48,159
42476,48,163
58194,48,281
40708,48,319
41618,48,125
64874,48,439
43355,48,001
60276,48,239
47081,48,331
47893,48,093
27378,48,047
48178,19,029
54658,19,035
53609,19,047
49977,19,057
50015,19,065
60063,19,085
54146,19,109
69177,19,129
45252,19,133
57348,19,139
58125,19,143
66044,19,153
44261,19,187
54554,19,169
55483,19,193
52688,19,013
66965,19,075
54070,19,097
56012,19,105
48571,19,111
55553,19,131
74383,19,181
54958,19,161
64296,19,149
47874,19,041
50156,19,045
43438,20,183
55455,20,067
58483,20,095
58644,20,131
64657,20,149
41103,20,021
63272,20,015
46196,20,105
54915,20,191
56810,20,195
46208,20,205
34621,20,207
51033,20,135
48355,20,141
40733,20,011
45000,20,075
51336,20,097
55199,20,177
52847,20,181
57478,20,193
45173,20,125
50352,20,127
48125,20,153
50511,20,163
50368,20,025
48188,20,053
49455,20,077
52806,20,167
44191,20,111
42853,20,145
42679,20,001
56912,20,033
38494,20,049
48894,20,063
56051,20,079
53854,20,083
51314,20,093
48563,20,185
57765,20,113
55036,20,139
51250,20,071
58636,20,031
40174,20,037
52700,20,051
42595,20,073
47668,20,099
43699,20,107
54974,20,173
47025,20,175
48022,20,157
40769,20,065
84915,20,091
55832,20,045
56071,20,179
69150,20,121
64426,20,069
58875,20,199
56507,20,189
48889,20,201
38690,20,019
43925,20,129
49174,20,155
44143,20,029
49338,20,043
53527,20,081
51719,20,101
71394,20,171
44294,20,133
48547,20,013
48272,20,147
49910,20,161
44104,20,039
61793,20,087
40061,21,031
41360,21,061
49696,21,097
45827,21,023
50097,21,143
33377,21,063
54357,21,111
41779,21,123
41415,21,161
50475,21,167
38864,21,201
36159,21,207
50794,21,229
44350,21,007
40216,21,009
37374,21,087
52019,21,091
35125,21,159
53168,21,093
50445,21,149
42826,21,183
36958,21,197
40947,21,233
44940,21,033
34457,21,045
41235,21,047
37906,21,085
51447,21,103
45738,21,107
32143,21,109
39230,21,125
50731,21,157
57963,21,163
41974,21,173
41354,21,181
97597,21,185
45338,21,187
36468,21,203
66966,21,209
52007,21,227
40893,21,003
51462,21,017
46165,21,019
60534,21,029
43169,21,055
54918,21,067
28559,21,075
37559,21,115
39905,21,165
34419,21,175
31046,21,193
22458,21,237
26250,21,051
24628,21,013
26376,21,025
41615,21,083
37795,21,099
34039,21,231
38544,21,155
52279,21,221
75043,21,015
30798,21,131
28790,21,121
31813,21,127
46076,21,139
34081,21,195
64240,21,211
54160,21,005
48189,21,027
55068,21,073
61606,21,117
48687,21,151
29516,21,153
25530,21,189
48311,21,213
39055,21,217
41865,21,219
39664,21,039
31115,21,053
50204,21,077
49888,21,079
42213,21,069
59782,21,037
50690,22,113
66620,22,089
31813,22,029
23870,22,107
50661,22,093
40792,22,043
52558,22,051
30300,22,013
53806,22,015
55000,22,023
48129,22,037
54821,22,095
52386,22,075
41314,22,073
44852,22,079
34985,22,117
33288,22,097
46297,22,105
41177,22,001
40485,22,101
36528,22,123
67706,22,103
43083,22,111
32174,22,021
40866,22,017
21161,22,035
76589,22,005
54726,22,055
45274,22,045
46011,22,087
39895,22,091
60908,22,121
44230,22,031
33446,22,081
63159,22,063
27795,22,069
39576,22,071
38854,22,025
49452,22,019
35466,22,041
44744,22,007
38523,22,049
34422,22,083
47974,22,099
35398,22,127
52719,22,033
41009,22,003
27810,22,065
47275,23,017
51564,23,027
49374,23,019
51412,23,001
39824,23,003
69708,23,005
55402,23,013
65538,23,031
48053,23,007
42491,23,025
61145,24,047
48840,24,510
67204,24,041
85942,24,025
117730,24,027
97810,24,003
74127,24,005
104301,24,009
49619,24,023
106287,24,031
93363,24,013
92167,24,035
90438,24,037
95924,24,017
52145,24,019
59719,24,043
56608,24,045
72845,24,015
54956,24,011
64582,25,025
70621,25,001
71224,25,007
97012,25,017
56674,25,003
66157,25,005
53403,25,013
85654,25,023
75878,25,009
59522,25,011
99511,25,021
67044,25,015
105171,25,019
61514,26,115
59883,26,005
48392,26,059
46007,26,003
46217,26,127
63831,26,089
37369,26,035
49779,26,083
44408,26,073
67468,26,139
47694,26,157
41991,26,007
54343,26,067
