STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_mar,county,state,fips
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/15/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/16/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/17/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/18/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/19/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/20/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/21/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/22/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/23/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/24/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/25/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/26/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/27/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/28/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/29/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/30/20,,,,,
USC00513376,"KAPUA 2.36, HI US",19.1445,-155.8494,533.4,3/31/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/1/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/2/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/3/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/4/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/5/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/6/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/7/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/8/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/9/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/10/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/11/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/12/20,,,,,
US1HIHI0059,"HAWAIIAN OCEAN VIEW 1.7 NNE, HI US",19.09078,-155.755218,734.9,3/13/20,,,,,
